,area_name_en,zone_index,rooms_en,weighted_score
0,Abu Hail,79,1 B/R,0.030938055
1,Abu Hail,79,2 B/R,0.013641332
2,Abu Hail,79,3 B/R,0.052960666
3,Abu Hail,79,4 B/R,0.026383295
4,Abu Hail,79,5 B/R,0.106140837
8,Abu Hail,79,Studio,0.004371851
9,Al Bada,122,1 B/R,0.046327457
10,Al Bada,122,2 B/R,0.012200413
11,Al Bada,122,3 B/R,0.124571958
12,Al Bada,122,4 B/R,0.026214367
13,Al Bada,122,5 B/R,0.019417542
18,Al Bada,122,Studio,0.001734266
19,Al Baraha,69,1 B/R,0.030338491
20,Al Baraha,69,2 B/R,0.011606696
21,Al Baraha,69,3 B/R,0.055342792
22,Al Baraha,69,4 B/R,0.031077209
23,Al Baraha,69,5 B/R,0.035264264
28,Al Baraha,69,Studio,0.002836416
29,Al Barsha First,149,1 B/R,0.041104661
30,Al Barsha First,149,2 B/R,0.013548638
31,Al Barsha First,149,3 B/R,0.237089408
32,Al Barsha First,149,4 B/R,0.041613372
33,Al Barsha First,149,5 B/R,0.055693193
38,Al Barsha First,149,Studio,0.001716532
39,Al Barsha Second,10,1 B/R,0.042468555
40,Al Barsha Second,10,2 B/R,0.012540388
41,Al Barsha Second,10,3 B/R,0.117112395
42,Al Barsha Second,10,4 B/R,0.048383537
43,Al Barsha Second,10,5 B/R,0.038770962
49,Al Barsha Second,10,Studio,0.001822626
50,Al Barsha South Fifth,164,1 B/R,0.041906356
51,Al Barsha South Fifth,164,2 B/R,0.029637765
52,Al Barsha South Fifth,164,3 B/R,0.16964018
53,Al Barsha South Fifth,164,4 B/R,0.03635367
54,Al Barsha South Fifth,164,5 B/R,0.215341356
62,Al Barsha South Fifth,164,Studio,0.004069777
63,Al Barsha South Fourth,221,1 B/R,0.041218382
64,Al Barsha South Fourth,221,2 B/R,0.069251558
65,Al Barsha South Fourth,221,3 B/R,0.111398017
66,Al Barsha South Fourth,221,4 B/R,0.031137373
67,Al Barsha South Fourth,221,5 B/R,0.055267197
75,Al Barsha South Fourth,221,Studio,0.002290826
76,Al Barsha Third,152,1 B/R,0.033337151
77,Al Barsha Third,152,2 B/R,0.016124571
78,Al Barsha Third,152,3 B/R,0.089704726
79,Al Barsha Third,152,4 B/R,0.030446512
80,Al Barsha Third,152,5 B/R,0.089300862
85,Al Barsha Third,152,Studio,0.003985862
86,Al Buteen,204,1 B/R,0.040005957
87,Al Buteen,204,2 B/R,0.021124476
88,Al Buteen,204,3 B/R,0.040875042
89,Al Buteen,204,4 B/R,0.05186354
90,Al Buteen,204,5 B/R,1
94,Al Buteen,204,Studio,0.002815298
95,Al Faga'A,77,2 B/R,0.015271153
96,Al Garhoud,169,1 B/R,0.038255196
97,Al Garhoud,169,2 B/R,0.012231943
98,Al Garhoud,169,3 B/R,0.038895971
99,Al Garhoud,169,4 B/R,0.037898266
100,Al Garhoud,169,5 B/R,0.039742286
104,Al Garhoud,169,Studio,0.002413312
105,Al Hamriya,91,1 B/R,0.077490887
106,Al Hamriya,91,2 B/R,0.015026021
107,Al Hamriya,91,3 B/R,0.064924968
108,Al Hamriya,91,4 B/R,0.037240862
109,Al Hamriya,91,5 B/R,0.04697685
113,Al Hamriya,91,Studio,0.00222504
114,Al Hebiah Fifth,15,1 B/R,0.042258954
115,Al Hebiah Fifth,15,2 B/R,0.022286685
116,Al Hebiah Fifth,15,3 B/R,0.1065151
117,Al Hebiah Fifth,15,4 B/R,0.035033628
118,Al Hebiah Fifth,15,5 B/R,0.059864725
126,Al Hebiah Fifth,15,Studio,0.001688495
127,Al Hebiah First,18,1 B/R,0.048028385
128,Al Hebiah First,18,2 B/R,0.0332689
129,Al Hebiah First,18,3 B/R,0.105395842
130,Al Hebiah First,18,4 B/R,0.028711374
131,Al Hebiah First,18,5 B/R,0.057507537
139,Al Hebiah First,18,Studio,0.002154104
140,Al Hebiah Fourth,142,1 B/R,0.039297237
141,Al Hebiah Fourth,142,2 B/R,0.058992153
142,Al Hebiah Fourth,142,3 B/R,0.146490379
143,Al Hebiah Fourth,142,4 B/R,0.034197609
144,Al Hebiah Fourth,142,5 B/R,0.061821784
153,Al Hebiah Fourth,142,Studio,0.002699384
154,Al Hebiah Second,66,1 B/R,0.037615578
155,Al Hebiah Second,66,2 B/R,0.041767134
156,Al Hebiah Second,66,3 B/R,0.280638304
157,Al Hebiah Second,66,4 B/R,0.034274782
158,Al Hebiah Second,66,5 B/R,0.155191048
165,Al Hebiah Second,66,Studio,0.002266251
166,Al Hebiah Sixth,198,1 B/R,0.030378742
167,Al Hebiah Sixth,198,2 B/R,0.016306688
168,Al Hebiah Sixth,198,3 B/R,0.147457817
169,Al Hebiah Sixth,198,4 B/R,0.032254063
170,Al Hebiah Sixth,198,5 B/R,0.079473208
176,Al Hebiah Sixth,198,Studio,0.001846057
177,Al Hebiah Third,190,1 B/R,0.042246254
178,Al Hebiah Third,190,2 B/R,0.061246757
179,Al Hebiah Third,190,3 B/R,0.128869338
180,Al Hebiah Third,190,4 B/R,0.026766769
181,Al Hebiah Third,190,5 B/R,0.07395439
189,Al Hebiah Third,190,Studio,0.002582595
190,Al Hudaiba,162,1 B/R,0.054326225
191,Al Hudaiba,162,2 B/R,0.010006976
192,Al Hudaiba,162,3 B/R,0.013653342
